date,description,amount
2025-06-21,Substack VIP,8.16
2025-06-21,Netflix,16.3
2025-06-21,AWS Hosting,45.42
2025-06-21,Airbnb Booking,288.89
2025-06-22,Netflix,16.04
2025-06-23,Slack Workspace,8.68
2025-06-23,Adobe Creative Cloud,55.05
2025-06-23,Disney+,13.99
2025-06-23,AWS Hosting,45.28
2025-06-23,iCloud Storage,3.05
2025-06-24,Slack Workspace,8.74
2025-06-24,AWS Hosting,44.84
2025-06-24,Gym Membership,49.73
2025-06-24,NYTimes Digital,4.02
2025-06-24,Slack Workspace,8.92
2025-06-25,ChatGPT Plus,20.03
2025-06-26,Uber Trip,23.53
2025-06-26,Adobe Creative Cloud,55.31
2025-06-26,NYTimes Digital,3.95
2025-06-26,Substack VIP,7.97
2025-06-27,AWS Hosting,45.41
2025-06-27,Notion Pro,9.9
2025-06-27,Substack VIP,8.11
2025-06-27,Gym Membership,49.45
2025-06-27,Notion Pro,10.02
2025-06-27,Best Buy,295.2
2025-06-27,Google One,1.97
2025-06-28,Netflix,16.61
2025-06-28,ChatGPT Plus,20.15
2025-06-29,Slack Workspace,8.73
2025-06-29,Google One,2.0
2025-06-29,Local Restaurant,77.44
2025-06-30,Best Buy,205.06
2025-06-30,Spotify,11.17
2025-06-30,Amazon Retail,86.37
2025-07-01,GitHub Pro,3.98
2025-07-01,PlayStation Plus,17.74
2025-07-01,NYTimes Digital,3.99
2025-07-01,Spotify,11.0
2025-07-01,Google One,2.0
2025-07-02,Spotify,10.94
2025-07-02,Adobe Creative Cloud,54.29
2025-07-02,Netflix,16.17
2025-07-02,Disney+,13.87
2025-07-03,Delta Airlines,178.41
2025-07-03,Disney+,13.83
2025-07-04,PlayStation Plus,17.96
2025-07-05,Delta Airlines,219.53
2025-07-06,Adobe Creative Cloud,55.37
2025-07-06,GitHub Pro,4.02
2025-07-06,PlayStation Plus,18.19
2025-07-06,Gym Membership,50.03
2025-07-06,Substack VIP,7.89
2025-07-06,Google One,2.0
2025-07-07,GitHub Pro,3.98
2025-07-07,Spotify,10.75
2025-07-07,ChatGPT Plus,20.21
2025-07-08,Adobe Creative Cloud,54.29
2025-07-08,Gym Membership,49.83
2025-07-08,Substack VIP,8.1
2025-07-09,NYTimes Digital,3.97
2025-07-09,ChatGPT Plus,19.44
2025-07-09,DoorDash Order,48.48
2025-07-09,AWS Hosting,44.78
2025-07-09,Disney+,14.15
2025-07-09,iCloud Storage,2.97
2025-07-10,Netflix,15.84
2025-07-10,iCloud Storage,3.02
2025-07-11,Notion Pro,10.04
2025-07-11,Local Restaurant,62.02
2025-07-12,ChatGPT Plus,20.18
2025-07-12,Notion Pro,9.95
2025-07-12,GitHub Pro,4.02
2025-07-13,PlayStation Plus,18.18
2025-07-13,Airbnb Booking,258.84
2025-07-13,iCloud Storage,3.0
2025-07-14,DoorDash Order,50.51
2025-07-15,Spotify,11.0
2025-07-15,NYTimes Digital,3.97
2025-07-16,Best Buy,63.53
2025-07-16,Airbnb Booking,148.18
2025-07-17,Notion Pro,9.98
2025-07-18,GitHub Pro,4.04
2025-07-18,Gym Membership,49.43
2025-07-19,Slack Workspace,8.83
2025-07-19,iCloud Storage,2.94
2025-07-20,Disney+,14.02
2025-07-20,PlayStation Plus,18.13
2025-07-21,Netflix,15.68
2025-07-21,Trader Joe's,78.33
2025-07-21,Google One,1.95
2025-07-21,AWS Hosting,45.81
2025-07-22,Trader Joe's,31.0
2025-07-22,iCloud Storage,3.02
2025-07-22,Substack VIP,7.89
2025-07-23,NYTimes Digital,4.0
2025-07-23,Slack Workspace,8.87
2025-07-23,Disney+,13.66
2025-07-23,AWS Hosting,44.96
2025-07-23,Netflix,16.01
2025-07-23,Adobe Creative Cloud,55.25
2025-07-24,AWS Hosting,45.55
2025-07-24,Slack Workspace,8.75
2025-07-24,Gym Membership,49.73
2025-07-24,Slack Workspace,8.7
2025-07-25,Substack VIP,8.0
2025-07-25,ChatGPT Plus,20.2
2025-07-25,Adobe Creative Cloud,54.79
2025-07-26,Uber Trip,22.7
2025-07-26,ChatGPT Plus,20.11
2025-07-26,AWS Hosting,44.56
2025-07-27,NYTimes Digital,3.95
2025-07-27,Notion Pro,10.05
2025-07-27,Netflix,16.2
2025-07-27,Google One,1.96
2025-07-27,Notion Pro,9.88
2025-07-27,Gym Membership,50.59
2025-07-28,Local Restaurant,40.32
2025-07-28,Target Store,25.25
2025-07-28,Substack VIP,7.94
2025-07-29,Slack Workspace,8.86
2025-07-30,Spotify,10.83
2025-07-30,Spotify,11.0
2025-07-30,Google One,1.99
2025-07-31,PlayStation Plus,17.84
2025-07-31,GitHub Pro,3.97
2025-08-01,Adobe Creative Cloud,55.27
2025-08-01,NYTimes Digital,3.95
2025-08-01,Google One,2.02
2025-08-02,Netflix,15.87
2025-08-02,Spotify,11.13
2025-08-03,Disney+,14.23
2025-08-03,Disney+,13.76
2025-08-05,Gym Membership,49.6
2025-08-05,PlayStation Plus,17.97
2025-08-05,GitHub Pro,3.99
2025-08-05,Substack VIP,8.03
2025-08-05,Google One,1.96
2025-08-05,GitHub Pro,3.99
2025-08-06,NYTimes Digital,4.04
2025-08-06,PlayStation Plus,18.12
2025-08-06,ChatGPT Plus,19.9
2025-08-06,Adobe Creative Cloud,55.53
2025-08-06,Spotify,11.21
2025-08-07,Gym Membership,49.94
2025-08-07,ChatGPT Plus,19.91
2025-08-08,AWS Hosting,45.67
2025-08-08,Adobe Creative Cloud,54.54
2025-08-08,iCloud Storage,2.99
2025-08-08,Substack VIP,7.99
2025-08-09,Notion Pro,10.03
2025-08-09,iCloud Storage,2.97
2025-08-09,Disney+,14.11
2025-08-10,Uber Trip,38.88
2025-08-11,iCloud Storage,3.03
2025-08-11,GitHub Pro,4.16
2025-08-11,ChatGPT Plus,20.0
2025-08-11,Netflix,15.92
2025-08-11,Notion Pro,9.9
2025-08-12,Best Buy,70.3
2025-08-13,PlayStation Plus,17.96
2025-08-14,NYTimes Digital,4.0
2025-08-15,Spotify,11.01
2025-08-15,Gym Membership,50.27
2025-08-16,CVS Pharmacy,21.95
2025-08-16,Notion Pro,10.02
2025-08-17,iCloud Storage,3.02
2025-08-18,PlayStation Plus,18.11
2025-08-18,GitHub Pro,3.96
2025-08-18,Slack Workspace,8.68
2025-08-19,Disney+,14.22
2025-08-19,Target Store,57.54
2025-08-20,Netflix,15.97
2025-08-20,Substack VIP,8.04
2025-08-20,Google One,2.0
2025-08-20,AWS Hosting,44.9
2025-08-20,Netflix,15.78
2025-08-21,iCloud Storage,2.99
2025-08-21,AWS Hosting,44.77
2025-08-21,DoorDash Order,53.26
2025-08-22,Adobe Creative Cloud,55.31
2025-08-22,Slack Workspace,8.67
2025-08-22,NYTimes Digital,3.99
2025-08-23,Slack Workspace,8.69
2025-08-23,Gym Membership,49.58
2025-08-23,Starbucks Coffee,8.97
2025-08-23,Slack Workspace,8.72
2025-08-23,AWS Hosting,44.92
2025-08-23,Airbnb Booking,214.12
2025-08-24,Adobe Creative Cloud,55.44
2025-08-24,Disney+,14.18
2025-08-24,NYTimes Digital,3.98
2025-08-24,ChatGPT Plus,20.16
2025-08-24,CVS Pharmacy,38.22
2025-08-25,Substack VIP,8.04
2025-08-25,Google One,1.99
2025-08-26,AWS Hosting,44.2
2025-08-26,Notion Pro,10.08
2025-08-26,ChatGPT Plus,20.29
2025-08-26,Netflix,16.15
2025-08-26,Substack VIP,8.1
2025-08-27,Notion Pro,9.97
2025-08-27,Gym Membership,49.02
2025-08-28,Spotify,10.98
2025-08-28,Slack Workspace,8.78
2025-08-29,NYTimes Digital,4.0
2025-08-29,PlayStation Plus,18.23
2025-08-29,GitHub Pro,3.95
2025-08-30,Google One,1.99
2025-08-30,Google One,1.99
2025-08-30,Trader Joe's,83.76
2025-08-31,Best Buy,174.58
2025-08-31,Adobe Creative Cloud,54.59
2025-08-31,Spotify,10.9
2025-08-31,Netflix,15.87
2025-08-31,Airbnb Booking,307.58
2025-09-01,Disney+,13.92
2025-09-01,CVS Pharmacy,37.67
2025-09-02,CVS Pharmacy,21.44
2025-09-02,Disney+,13.98
2025-09-02,Spotify,10.99
2025-09-03,Uber Trip,42.88
2025-09-03,GitHub Pro,3.95
2025-09-03,PlayStation Plus,17.69
2025-09-04,Google One,1.95
2025-09-04,Adobe Creative Cloud,54.87
2025-09-04,PlayStation Plus,18.16
2025-09-04,Gym Membership,50.31
2025-09-04,Substack VIP,8.1
2025-09-04,GitHub Pro,3.95
2025-09-05,Spotify,10.93
2025-09-05,NYTimes Digital,3.98
2025-09-06,iCloud Storage,2.97
2025-09-06,ChatGPT Plus,19.95
2025-09-06,Adobe Creative Cloud,55.33
2025-09-06,Disney+,14.07
2025-09-07,Target Store,73.93
2025-09-07,Gym Membership,50.6
2025-09-07,Substack VIP,7.99
2025-09-07,AWS Hosting,45.0
2025-09-07,ChatGPT Plus,20.02
2025-09-08,iCloud Storage,2.99
2025-09-08,Notion Pro,9.91
2025-09-08,Amazon Retail,89.26
2025-09-09,GitHub Pro,3.97
2025-09-09,Netflix,15.81
2025-09-09,Notion Pro,10.23
2025-09-10,Starbucks Coffee,5.13
2025-09-10,ChatGPT Plus,20.3
2025-09-10,iCloud Storage,2.97
2025-09-11,Local Restaurant,23.47
2025-09-11,Starbucks Coffee,5.94
2025-09-12,PlayStation Plus,17.86
2025-09-12,NYTimes Digital,4.0
2025-09-13,DoorDash Order,34.46
2025-09-15,Notion Pro,10.15
2025-09-15,Gym Membership,50.14
2025-09-15,Spotify,10.94
2025-09-16,iCloud Storage,2.98
2025-09-17,GitHub Pro,3.97
2025-09-17,PlayStation Plus,17.96
2025-09-17,Slack Workspace,8.76
2025-09-18,Disney+,13.92
2025-09-18,AWS Hosting,44.66
2025-09-19,CVS Pharmacy,19.1
2025-09-19,Google One,1.99
2025-09-19,Substack VIP,7.94
2025-09-20,iCloud Storage,2.94
2025-09-20,Netflix,15.88
2025-09-20,Netflix,16.28
2025-09-21,Gym Membership,50.46
2025-09-21,NYTimes Digital,3.99
2025-09-21,Adobe Creative Cloud,54.87
2025-09-21,AWS Hosting,44.98
2025-09-21,Slack Workspace,8.85
2025-09-22,Disney+,13.84
2025-09-22,AWS Hosting,44.69
2025-09-22,Adobe Creative Cloud,55.27
2025-09-22,Shell Gas Station,44.33
2025-09-22,Slack Workspace,8.89
2025-09-23,ChatGPT Plus,19.81
2025-09-23,Slack Workspace,8.79
2025-09-24,Gym Membership,50.17
2025-09-24,ChatGPT Plus,20.09
2025-09-24,Google One,2.0
2025-09-24,NYTimes Digital,3.93
2025-09-24,Notion Pro,10.06
2025-09-25,DoorDash Order,49.66
2025-09-25,Netflix,15.81
2025-09-25,Notion Pro,9.93
2025-09-25,Best Buy,70.85
2025-09-25,AWS Hosting,44.68
2025-09-25,Substack VIP,8.0
2025-09-26,Trader Joe's,42.3
2025-09-26,Substack VIP,8.11
2025-09-27,Spotify,10.94
2025-09-28,NYTimes Digital,3.93
2025-09-28,Google One,2.02
2025-09-28,Slack Workspace,8.68
2025-09-29,GitHub Pro,3.98
2025-09-29,Spotify,11.01
2025-09-29,PlayStation Plus,18.08
2025-09-30,Google One,1.98
2025-09-30,Netflix,15.9
2025-10-01,Adobe Creative Cloud,54.2
2025-10-01,Spotify,11.03
2025-10-02,Disney+,13.79
2025-10-02,Disney+,14.22
2025-10-02,Uber Trip,23.78
2025-10-03,Amazon Retail,25.68
2025-10-03,PlayStation Plus,17.99
2025-10-03,Google One,1.95
2025-10-04,GitHub Pro,4.02
2025-10-04,Substack VIP,7.95
2025-10-04,GitHub Pro,3.96
2025-10-05,Spotify,10.87
2025-10-05,PlayStation Plus,17.62
2025-10-05,Gym Membership,49.27
2025-10-05,Adobe Creative Cloud,54.91
2025-10-06,NYTimes Digital,4.02
2025-10-06,Adobe Creative Cloud,54.97
2025-10-06,ChatGPT Plus,19.8
2025-10-06,AWS Hosting,45.18
2025-10-07,ChatGPT Plus,20.09
2025-10-07,Gym Membership,49.83
2025-10-07,Disney+,14.09
2025-10-07,iCloud Storage,3.01
2025-10-08,iCloud Storage,2.95
2025-10-08,Netflix,16.06
2025-10-08,Notion Pro,10.1
2025-10-08,Substack VIP,8.05
2025-10-10,ChatGPT Plus,20.42
2025-10-10,Airbnb Booking,233.14
2025-10-10,GitHub Pro,4.03
2025-10-11,Notion Pro,10.01
2025-10-11,iCloud Storage,3.04
2025-10-12,Best Buy,79.77
2025-10-12,PlayStation Plus,18.37
2025-10-13,Starbucks Coffee,10.47
2025-10-13,NYTimes Digital,3.95
2025-10-13,Best Buy,94.18
2025-10-14,Notion Pro,10.06
2025-10-15,Gym Membership,49.92
2025-10-15,Spotify,10.99
2025-10-16,Slack Workspace,8.61
2025-10-16,GitHub Pro,4.01
2025-10-17,PlayStation Plus,18.01
2025-10-17,iCloud Storage,2.97
2025-10-18,Disney+,14.23
2025-10-18,Substack VIP,7.94
2025-10-19,AWS Hosting,44.69
2025-10-19,Netflix,15.98
2025-10-20,iCloud Storage,2.97
2025-10-20,Google One,1.99
2025-10-21,CVS Pharmacy,16.82
2025-10-21,AWS Hosting,44.94
2025-10-21,Netflix,16.08
2025-10-21,NYTimes Digital,4.06
2025-10-22,Slack Workspace,8.9
2025-10-22,Gym Membership,50.23
2025-10-22,AWS Hosting,44.6
2025-10-22,Disney+,13.98
2025-10-22,Adobe Creative Cloud,54.36
2025-10-23,Slack Workspace,8.92
2025-10-23,ChatGPT Plus,19.66
2025-10-23,Slack Workspace,8.79
2025-10-24,NYTimes Digital,4.07
2025-10-24,Google One,1.97
2025-10-24,Starbucks Coffee,6.95
2025-10-24,Adobe Creative Cloud,55.54
2025-10-25,AWS Hosting,44.43
2025-10-25,Gym Membership,50.01
2025-10-25,Substack VIP,8.0
2025-10-25,Netflix,15.75
2025-10-25,ChatGPT Plus,20.13
2025-10-25,Notion Pro,9.93
2025-10-25,Substack VIP,7.9
2025-10-26,Notion Pro,9.95
2025-10-27,Spotify,11.12
2025-10-27,Google One,1.98
2025-10-28,Slack Workspace,8.61
2025-10-28,NYTimes Digital,3.97
2025-10-29,PlayStation Plus,17.97
2025-10-29,GitHub Pro,3.95
2025-10-29,Netflix,15.99
2025-10-30,Spotify,10.99
2025-10-30,Google One,2.01
2025-10-31,Spotify,10.98
2025-10-31,Adobe Creative Cloud,55.31
2025-10-31,Disney+,14.0
2025-11-01,Disney+,14.25
2025-11-02,PlayStation Plus,18.03
2025-11-02,Google One,2.0
2025-11-03,Substack VIP,8.07
2025-11-03,DoorDash Order,23.26
2025-11-03,Gym Membership,49.44
2025-11-04,PlayStation Plus,17.91
2025-11-04,Adobe Creative Cloud,54.63
2025-11-04,GitHub Pro,4.03
2025-11-04,GitHub Pro,4.01
2025-11-04,NYTimes Digital,3.99
2025-11-04,Spotify,11.04
2025-11-05,ChatGPT Plus,19.49
2025-11-05,Adobe Creative Cloud,55.36
2025-11-06,iCloud Storage,2.96
2025-11-06,ChatGPT Plus,19.69
2025-11-06,Gym Membership,49.65
2025-11-07,Substack VIP,8.07
2025-11-07,Disney+,13.88
2025-11-07,AWS Hosting,44.41
2025-11-07,Notion Pro,10.13
2025-11-08,iCloud Storage,2.99
2025-11-08,GitHub Pro,4.01
2025-11-08,Netflix,15.69
2025-11-09,iCloud Storage,2.99
2025-11-09,ChatGPT Plus,20.28
2025-11-09,Notion Pro,9.83
2025-11-11,Delta Airlines,562.94
2025-11-12,PlayStation Plus,18.13
2025-11-12,NYTimes Digital,4.0
2025-11-13,Notion Pro,10.04
2025-11-13,Gym Membership,49.69
2025-11-14,GitHub Pro,4.03
2025-11-14,Spotify,11.0
2025-11-15,PlayStation Plus,17.93
2025-11-16,Slack Workspace,8.68
2025-11-16,iCloud Storage,3.03
2025-11-16,Disney+,14.18
2025-11-17,Google One,2.03
2025-11-17,Netflix,16.02
2025-11-18,AWS Hosting,44.38
2025-11-18,Substack VIP,7.93
2025-11-19,iCloud Storage,3.03
2025-11-19,Slack Workspace,8.77
2025-11-20,Shell Gas Station,42.52
2025-11-20,Netflix,15.76
2025-11-20,AWS Hosting,44.54
2025-11-21,NYTimes Digital,3.98
2025-11-21,Gym Membership,49.57
2025-11-21,Disney+,13.85
2025-11-21,Adobe Creative Cloud,54.32
2025-11-21,AWS Hosting,44.7
2025-11-21,Slack Workspace,8.86
2025-11-21,Slack Workspace,8.82
2025-11-22,Adobe Creative Cloud,55.83
2025-11-22,ChatGPT Plus,19.82
2025-11-23,Notion Pro,10.13
2025-11-23,Substack VIP,8.04
2025-11-23,Google One,1.95
2025-11-23,NYTimes Digital,4.03
2025-11-24,AWS Hosting,45.05
2025-11-24,Notion Pro,9.99
2025-11-24,Uber Trip,20.34
2025-11-24,Netflix,16.36
2025-11-25,ChatGPT Plus,20.03
2025-11-25,Gym Membership,50.35
2025-11-25,Substack VIP,7.94
2025-11-25,DoorDash Order,31.27
2025-11-26,Amazon Retail,124.37
2025-11-26,Slack Workspace,8.65
2025-11-27,Spotify,10.99
2025-11-28,Google One,1.99
2025-11-28,Spotify,11.04
2025-11-28,GitHub Pro,3.98
2025-11-28,Google One,1.99
2025-11-29,NYTimes Digital,4.03
2025-11-29,PlayStation Plus,18.06
2025-11-29,Netflix,16.08
2025-11-29,Adobe Creative Cloud,54.48
2025-11-30,Spotify,10.9
2025-11-30,Airbnb Booking,382.02
2025-12-01,Disney+,14.1
2025-12-01,PlayStation Plus,18.11
2025-12-01,Disney+,14.06
2025-12-03,Gym Membership,50.85
2025-12-03,Google One,2.01
2025-12-03,PlayStation Plus,17.96
2025-12-04,Substack VIP,7.91
2025-12-04,Adobe Creative Cloud,54.92
2025-12-04,GitHub Pro,4.05
2025-12-04,Trader Joe's,34.84
2025-12-04,GitHub Pro,4.06
2025-12-05,Disney+,13.81
2025-12-05,Gym Membership,50.42
2025-12-05,Spotify,10.99
2025-12-05,ChatGPT Plus,19.92
2025-12-05,Adobe Creative Cloud,55.51
2025-12-06,iCloud Storage,2.99
2025-12-06,NYTimes Digital,4.03
2025-12-06,iCloud Storage,2.97
2025-12-06,AWS Hosting,45.36
2025-12-06,Substack VIP,7.97
2025-12-07,ChatGPT Plus,19.95
2025-12-07,Notion Pro,10.04
2025-12-08,Netflix,15.78
2025-12-09,Notion Pro,9.79
2025-12-09,ChatGPT Plus,19.7
2025-12-09,Delta Airlines,537.93
2025-12-09,iCloud Storage,3.03
2025-12-09,Delta Airlines,175.98
2025-12-09,GitHub Pro,4.0
2025-12-10,DoorDash Order,62.75
2025-12-12,PlayStation Plus,17.86
2025-12-12,NYTimes Digital,4.07
2025-12-13,Gym Membership,50.8
2025-12-13,Notion Pro,10.21
2025-12-14,Spotify,10.96
2025-12-15,Airbnb Booking,199.27
2025-12-15,Best Buy,59.21
2025-12-15,Airbnb Booking,176.25
2025-12-15,GitHub Pro,4.05
2025-12-16,Disney+,14.1
2025-12-16,Slack Workspace,8.92
2025-12-16,iCloud Storage,3.01
2025-12-16,PlayStation Plus,18.17
2025-12-17,AWS Hosting,45.01
2025-12-17,Netflix,15.83
2025-12-18,iCloud Storage,3.03
2025-12-19,Substack VIP,8.11
2025-12-19,Google One,2.01
2025-12-19,Adobe Creative Cloud,55.9
2025-12-20,NYTimes Digital,4.04
2025-12-20,AWS Hosting,45.3
2025-12-20,Airbnb Booking,349.71
2025-12-20,Netflix,16.02
2025-12-20,AWS Hosting,45.5
2025-12-21,Slack Workspace,8.71
2025-12-21,Slack Workspace,8.76
2025-12-21,Disney+,13.95
2025-12-21,Slack Workspace,8.82
2025-12-21,Gym Membership,50.41
2025-12-22,ChatGPT Plus,19.67
2025-12-23,Adobe Creative Cloud,54.79
2025-12-23,Google One,2.01
2025-12-24,ChatGPT Plus,20.02
2025-12-24,AWS Hosting,44.31
2025-12-24,Substack VIP,8.07
2025-12-24,NYTimes Digital,3.96
2025-12-24,Notion Pro,9.95
2025-12-25,Notion Pro,9.91
2025-12-25,Netflix,15.69
2025-12-25,Substack VIP,8.08
2025-12-25,Gym Membership,50.83
2025-12-26,Slack Workspace,8.85
2025-12-27,Spotify,10.97
2025-12-27,Google One,1.98
2025-12-27,NYTimes Digital,3.99
2025-12-28,DoorDash Order,39.94
2025-12-28,Google One,1.99
2025-12-28,Target Store,20.26
2025-12-28,PlayStation Plus,18.09
2025-12-28,GitHub Pro,3.97
2025-12-28,Spotify,11.0
2025-12-28,Uber Trip,42.1
2025-12-28,Adobe Creative Cloud,54.25
2025-12-29,Netflix,15.88
2025-12-29,Best Buy,221.31
2025-12-30,Disney+,13.95
2025-12-31,Disney+,13.82
2025-12-31,Spotify,10.99
2026-01-01,Uber Trip,28.92
2026-01-01,Local Restaurant,80.44
2026-01-01,Adobe Creative Cloud,54.71
2026-01-01,Substack VIP,8.05
2026-01-01,PlayStation Plus,17.83
2026-01-02,GitHub Pro,4.01
2026-01-02,Gym Membership,49.79
2026-01-02,GitHub Pro,3.95
2026-01-02,PlayStation Plus,18.02
2026-01-03,Adobe Creative Cloud,54.71
2026-01-03,Shell Gas Station,39.77
2026-01-03,Google One,1.97
2026-01-03,ChatGPT Plus,20.01
2026-01-03,Spotify,11.06
2026-01-04,AWS Hosting,44.99
2026-01-04,Amazon Retail,83.84
2026-01-05,Disney+,13.74
2026-01-05,ChatGPT Plus,20.14
2026-01-05,NYTimes Digital,3.98
2026-01-05,Substack VIP,8.07
2026-01-05,iCloud Storage,3.01
2026-01-06,Gym Membership,49.8
2026-01-06,Notion Pro,10.02
2026-01-07,iCloud Storage,2.96
2026-01-08,GitHub Pro,4.05
2026-01-08,iCloud Storage,2.97
2026-01-08,Notion Pro,10.0
2026-01-08,ChatGPT Plus,19.77
2026-01-08,Netflix,16.11
2026-01-10,PlayStation Plus,18.05
2026-01-11,Spotify,10.81
2026-01-11,NYTimes Digital,3.96
2026-01-12,Gym Membership,49.48
2026-01-12,Notion Pro,10.07
2026-01-14,Slack Workspace,8.63
2026-01-15,iCloud Storage,3.01
2026-01-15,DoorDash Order,63.93
2026-01-15,GitHub Pro,3.96
2026-01-15,PlayStation Plus,18.08
2026-01-15,Disney+,13.85
2026-01-16,Substack VIP,8.09
2026-01-16,Google One,1.98
2026-01-17,AWS Hosting,44.59
2026-01-17,DoorDash Order,23.8
2026-01-18,Netflix,15.9
2026-01-18,Netflix,16.1
2026-01-18,iCloud Storage,2.98
2026-01-18,Slack Workspace,8.84
2026-01-19,Disney+,13.92
2026-01-19,AWS Hosting,45.91
2026-01-20,NYTimes Digital,3.9
2026-01-20,Adobe Creative Cloud,54.96
2026-01-20,Gym Membership,49.78
2026-01-20,AWS Hosting,45.21
2026-01-20,Slack Workspace,8.74
2026-01-20,Slack Workspace,8.66
2026-01-21,ChatGPT Plus,20.35
2026-01-21,Adobe Creative Cloud,54.53
2026-01-22,Gym Membership,49.7
2026-01-22,Google One,1.99
2026-01-22,Target Store,37.48
2026-01-23,AWS Hosting,44.38
2026-01-23,Shell Gas Station,38.3
2026-01-23,Netflix,15.92
2026-01-23,ChatGPT Plus,20.02
2026-01-23,Notion Pro,9.9
2026-01-23,NYTimes Digital,4.01
2026-01-23,Substack VIP,8.0
2026-01-24,Slack Workspace,8.67
2026-01-24,Notion Pro,10.16
2026-01-24,Substack VIP,7.95
2026-01-25,Starbucks Coffee,7.41
2026-01-25,Spotify,11.0
2026-01-25,Google One,1.99
2026-01-26,PlayStation Plus,18.26
2026-01-26,Spotify,10.91
2026-01-26,NYTimes Digital,4.03
2026-01-27,Best Buy,83.69
2026-01-28,GitHub Pro,4.0
2026-01-28,DoorDash Order,64.71
2026-01-28,Netflix,16.02
2026-01-28,Adobe Creative Cloud,55.31
2026-01-29,Spotify,11.11
2026-01-29,Best Buy,276.75
2026-01-29,Google One,1.96
2026-01-30,Disney+,14.19
2026-01-30,PlayStation Plus,18.22
2026-01-30,Disney+,14.04
2026-01-31,Google One,1.98
2026-01-31,Adobe Creative Cloud,55.27
2026-02-01,Gym Membership,49.28
2026-02-01,GitHub Pro,4.01
2026-02-01,GitHub Pro,4.0
2026-02-02,PlayStation Plus,18.03
2026-02-02,Substack VIP,8.07
2026-02-02,Spotify,10.93
2026-02-02,ChatGPT Plus,19.97
2026-02-03,Adobe Creative Cloud,54.52
2026-02-03,NYTimes Digital,4.01
2026-02-03,iCloud Storage,3.0
2026-02-03,Target Store,55.95
2026-02-04,Disney+,13.75
2026-02-04,AWS Hosting,45.79
2026-02-04,ChatGPT Plus,19.95
2026-02-04,Substack VIP,7.98
2026-02-04,Gym Membership,49.74
2026-02-05,iCloud Storage,2.99
2026-02-06,Starbucks Coffee,11.98
2026-02-06,Netflix,16.03
2026-02-06,iCloud Storage,3.01
2026-02-06,Notion Pro,10.09
2026-02-07,ChatGPT Plus,19.72
2026-02-07,GitHub Pro,3.98
2026-02-08,Notion Pro,10.21
2026-02-09,PlayStation Plus,17.97
2026-02-10,NYTimes Digital,3.97
2026-02-11,Spotify,10.89
2026-02-12,Amazon Retail,37.79
2026-02-12,Gym Membership,50.02
2026-02-12,Notion Pro,10.08
2026-02-13,iCloud Storage,3.01
2026-02-14,Slack Workspace,8.77
2026-02-14,GitHub Pro,4.02
2026-02-15,PlayStation Plus,18.12
2026-02-16,Netflix,16.26
2026-02-16,Trader Joe's,63.82
2026-02-16,AWS Hosting,45.68
2026-02-16,Substack VIP,8.18
2026-02-16,Disney+,14.04
2026-02-16,Google One,1.99
2026-02-17,iCloud Storage,3.03
2026-02-17,Netflix,16.05
2026-02-18,Amazon Retail,27.37
2026-02-18,NYTimes Digital,3.95
2026-02-18,Adobe Creative Cloud,55.12
2026-02-18,Slack Workspace,8.67
2026-02-18,AWS Hosting,44.98
2026-02-19,AWS Hosting,45.46
2026-02-19,ChatGPT Plus,19.9
2026-02-19,Slack Workspace,8.68
2026-02-19,Disney+,13.87
2026-02-19,Uber Trip,32.59
2026-02-19,Slack Workspace,8.73
2026-02-19,Gym Membership,49.82
2026-02-20,Adobe Creative Cloud,55.85
2026-02-20,NYTimes Digital,4.01
2026-02-21,Notion Pro,10.11
2026-02-21,Google One,1.98
2026-02-21,Substack VIP,8.12
2026-02-21,Local Restaurant,35.16
2026-02-22,Notion Pro,9.9
2026-02-22,Substack VIP,8.06
2026-02-22,ChatGPT Plus,19.97
2026-02-22,Netflix,16.09
2026-02-22,AWS Hosting,44.75
2026-02-23,Gym Membership,49.34
2026-02-23,Best Buy,147.0
2026-02-24,Slack Workspace,8.78
2026-02-24,Spotify,10.78
2026-02-25,Spotify,10.88
2026-02-25,Best Buy,190.08
2026-02-25,Google One,2.01
2026-02-26,GitHub Pro,3.88
2026-02-26,PlayStation Plus,17.95
2026-02-26,NYTimes Digital,4.05
2026-02-27,Google One,2.01
2026-02-27,Netflix,16.13
2026-02-27,Adobe Creative Cloud,54.03
2026-02-27,Local Restaurant,80.18
2026-02-28,Disney+,13.93
2026-03-01,Disney+,14.24
2026-03-01,Spotify,11.23
2026-03-02,Adobe Creative Cloud,55.65
2026-03-03,Google One,2.01
2026-03-03,PlayStation Plus,18.09
2026-03-03,GitHub Pro,3.99
2026-03-03,GitHub Pro,4.0
2026-03-04,Substack VIP,7.85
2026-03-04,PlayStation Plus,18.18
2026-03-04,Spotify,10.96
2026-03-04,Gym Membership,49.11
2026-03-04,ChatGPT Plus,20.14
2026-03-05,iCloud Storage,3.02
2026-03-05,AWS Hosting,44.54
2026-03-05,Adobe Creative Cloud,56.5
2026-03-05,Shell Gas Station,40.26
2026-03-06,NYTimes Digital,4.04
2026-03-06,ChatGPT Plus,19.78
2026-03-06,Disney+,14.01
2026-03-06,Gym Membership,50.71
2026-03-06,Substack VIP,7.89
2026-03-07,Notion Pro,9.99
2026-03-07,Amazon Retail,39.68
2026-03-07,iCloud Storage,2.93
2026-03-08,Netflix,16.12
